Rank,Game,Score,Times Ranked
1,Skull King,90.612,5
2,MLEM: Space Agency,88.163,5
3,Quacks,84.898,5
4,Decrypto,84.898,5
5,Ra,82.857,5
6,Camel Up (Second Edition),82.041,5
7,El Grande,80.408,5
8,Take 5,80.408,5
9,Flamme Rouge,78.367,5
10,The King's Dilemma,72.245,5
11,Welcome To...,71.837,5
12,Flip 7,66.531,5
13,Bohnanza,65.714,5
14,Strike,60,5
15,High Society,60,5
16,FUSE,57.551,5
17,Guards of Atlantis II,56.735,5
18,Suburbia,56.735,5
19,Fabled Fruit,56.327,5
20,Acquire,55.51,5
21,Dutch Blitz,54.694,5
22,Carcassonne,52.245,5
23,Yokai Septet,52.245,5
24,Dixit,50.612,5
25,Blood on the Clocktower,50.204,5
26,No Thanks!,49.796,5
27,Timeline,48.98,5
28,Wilmot's Warehouse,48.163,5
29,Stay Cool,47.347,5
30,Coloretto,42.449,5
31,Cryptid,40.816,5
32,The Crew: The Quest for Planet Nine,39.592,5
33,Anomia,36.735,5
34,Men at Work,35.51,5
35,Concordia,35.51,5
36,TEAM3 GREEN,35.102,5
37,Wavelength,35.102,5
38,Medium,35.102,5
39,Coup,34.286,5
40,Magic Maze,33.469,5
41,For Sale,32.245,5
42,Point Salad,26.122,5
43,Green Team Wins,25.306,5
44,Sidereal Confluence: Trading and Negotiation in the Elysian Quadrant,25.306,5
45,The Resistance: Avalon,24.082,5
46,Werewords,24.082,5
47,Pictomania,23.673,5
48,MicroMacro: Crime City – Full House,18.367,5
49,Modern Art Card Game,11.02,5